A,Y(A),X(A)
1,4.53470521998598e-14,4.53470521998598e-14
2,0.0,0.0
3,0.0,0.0
4,0.00134796149528653,0.00539184598114614
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.000339653449492245,0.00407584139390694
13,1.35838589609369e-10,1.7659016649217902e-09
14,4.2226770669922e-15,5.911747893789081e-14
15,7.28663491222037e-18,1.09299523683306e-16
16,4.83635077280807e-06,7.73816123649291e-05
17,1.02296887048831e-13,1.73904707983012e-12
18,4.73072917812639e-15,8.5153125206275e-14
19,3.8362382085977e-17,7.28885259633563e-16
20,2.83897361335561e-06,5.67794722671123e-05
21,2.6215345101089997e-11,5.50522247122889e-10
22,1.05106430638356e-12,2.3123414740438298e-11
23,1.77526655417851e-14,4.08311307461057e-13
24,1.96461309375302e-05,0.000471507142500726
25,1.61659514732892e-06,4.04148786832231e-05
26,1.29080536959505e-07,3.35609396094714e-06
27,1.11441353605908e-08,3.00891654735951e-07
28,4.67021042862031e-05,0.00130765892001369
29,2.63973946026306e-07,7.65524443476289e-06
30,1.86945790059907e-07,5.60837370179721e-06
31,3.51954340753791e-07,1.09105845633675e-05
32,3.82954617396601e-05,0.00122545477566912
33,2.2108108767159e-06,7.29567589316246e-05
34,1.80199459427758e-07,6.12678162054377e-06
35,9.32682876168929e-07,3.26439006659125e-05
36,1.0802716752594e-05,0.000388897803093385
37,1.02192379652481e-07,3.78111804714179e-06
38,4.9281772508829e-08,1.8727073553355e-06
39,9.067143652126e-07,3.53618602432914e-05
40,9.3858615795565e-06,0.00037543446318226
41,7.00855593043359e-10,2.87350793147777e-08
42,2.4366244148624102e-09,1.02338225424221e-07
43,6.373130450863051e-09,2.74044609387111e-07
44,5.78542840401291e-07,2.54558849776568e-05
45,4.1229602260287e-10,1.85533210171291e-08
46,4.09292746870768e-09,1.88274663560553e-07
47,2.25964940388272e-07,1.06203521982488e-05
48,6.50958164406045e-07,3.12459918914901e-05
49,2.77364773114377e-08,1.35908738826045e-06
50,6.35346434654702e-08,3.17673217327351e-06
51,1.04927528340265e-06,5.35130394535354e-05
52,2.22488556640335e-06,0.000115694049452974
53,9.881842246571231e-09,5.23737639068275e-07
54,5.63303895365178e-08,3.04184103497196e-06
55,6.32131978279394e-07,3.47672588053667e-05
56,2.68719516582583e-05,0.00150482929286247
57,3.88296062147436e-10,2.21328755424038e-08
58,7.486273381244879e-11,4.342038561122031e-09
59,2.4233066146855104e-09,1.42975090266445e-07
60,3.79460898421642e-05,0.00227676539052985
61,8.0963352402986e-08,4.93876449658214e-06
62,3.31757774277424e-08,2.05689820052003e-06
63,5.15073667774812e-08,3.24496410698132e-06
64,0.000183277842196334,0.0117297819005654
65,9.11283262156035e-07,5.92334120401423e-05
66,5.63554063759129e-07,3.71945682081025e-05
67,1.31577056525866e-07,8.81566278723303e-06
68,0.000807648603256105,0.0549201050214152
69,1.34492289102908e-05,0.000927996794810065
70,4.53073532973132e-06,0.000317151473081193
71,6.48867854431591e-08,4.60696176646429e-06
72,0.00064014365998199,0.0460903435187033
73,1.85018082008544e-05,0.00135063199866237
74,5.81030674827127e-06,0.000429962699372074
75,1.71331738948278e-06,0.000128498804211209
76,0.00034576646322343,0.0262782512049807
77,1.93567047746116e-05,0.00149046626764509
78,6.223975289578e-06,0.000485470072587084
79,8.22113269335588e-06,0.000649469482775115
80,0.000210686239097323,0.0168548991277858
81,2.49022134475915e-05,0.00201707928925491
82,4.34211164809607e-05,0.00356053155143878
83,6.07685943268171e-07,5.04379332912582e-05
84,8.6344554912734e-05,0.00725294261266966
85,3.99621462020317e-05,0.0033967824271727
86,0.000371093996079573,0.0319140836628433
87,1.14118066509675e-05,0.00099282717863417
88,1.31408045092045e-05,0.00115639079680999
89,1.97549242711487e-05,0.00175818826013224
90,3.16095572382441e-05,0.00284486015144197
91,7.81526867189009e-06,0.000711189449141998
92,8.9564422561198e-06,0.000823992687563022
93,2.17983021278732e-05,0.0020272420978922
94,8.42154702108669e-05,0.00791625419982149
95,1.60146771534036e-05,0.00152139432957334
96,1.32377814571136e-05,0.00127082701988291
97,2.6956159107503e-05,0.00261474743342779
98,0.000412859436294292,0.0404602247568406
99,8.25232286595152e-05,0.008169799637292
100,9.54514213652408e-05,0.00954514213652408
101,7.32849964891468e-05,0.00740178464540382
102,0.000200748775144465,0.0204763750647354
103,0.000506828619513832,0.0522033478099247
104,0.00182474687696654,0.18977367520452
105,0.00226413282189354,0.237733946298821
106,0.00160806327622188,0.17045470727952
107,0.000113382933886833,0.0121319739258912
108,2.91923551248824e-06,0.00031527743534873
109,4.49575802407788e-07,4.90037624624489e-05
110,1.40727880129826e-07,1.54800668142809e-05
111,6.41097790199467e-08,7.11618547121408e-06
112,4.72801033986592e-08,5.29537158064983e-06
113,9.56663794100802e-10,1.08103008733391e-07
114,6.19880729318116e-10,7.06664031422652e-08
115,8.90148681344271e-10,1.02367098354591e-07
116,8.06554975314012e-10,9.35603771364254e-08
117,9.79693088934368e-11,1.14624091405321e-08
118,2.7855667984460696e-11,3.2869688221663604e-09
119,1.0886031670804099e-12,1.2954377688256801e-10
120,9.61623959067072e-13,1.15394875088049e-10
121,2.79091136361207e-13,3.3770027499706095e-11
122,1.77227301857742e-12,2.16217308266445e-10
123,2.33512070454974e-13,2.8721984665961796e-11
124,2.23158126637132e-12,2.76716077030044e-10
125,2.66538069914158e-13,3.33172587392698e-11
126,1.60892645663877e-12,2.02724733536485e-10
127,1.47234387231448e-12,1.86987671783939e-10
128,4.08658462137953e-12,5.2308283153658e-10
129,2.14506619301962e-12,2.76713538899531e-10
130,4.58105128178697e-12,5.95536666632306e-10
131,4.45145916568866e-13,5.83141150705214e-11
132,2.0265450645429698e-12,2.67503948519672e-10
133,1.3840950477819e-16,1.84084641354992e-14
134,7.86277939935745e-13,1.0536124395139e-10
135,4.8461357059985195e-16,6.542283203098e-14
136,6.5165108149253e-13,8.86245470829841e-11
